Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 16.78      0.50     0.50 25584958     0.00     0.00  comp_td_point_to_point_delay
 15.44      0.96     0.46 12629702     0.00     0.00  get_non_updateable_bb
 13.09      1.35     0.39   848146     0.00     0.00  comp_delta_td_cost
 11.41      1.69     0.34   848146     0.00     0.00  find_affected_nets
 10.74      2.01     0.32   869998     0.00     0.00  try_swap
  7.05      2.22     0.21 18463104     0.00     0.00  get_seg_start
  6.71      2.42     0.20 15637785     0.00     0.00  get_net_cost
  3.36      2.52     0.10   386965     0.00     0.00  update_td_cost
  3.02      2.61     0.09 18254940     0.00     0.00  get_seg_end
  2.35      2.68     0.07  3008047     0.00     0.00  update_bb
  2.01      2.74     0.06  3022684     0.00     0.00  my_irand
  1.01      2.77     0.03    68548     0.00     0.00  label_wire_muxes
  1.01      2.80     0.03      124     0.00     0.00  load_net_slack
  0.67      2.82     0.02  1421350     0.00     0.00  get_rr_node_index
  0.67      2.84     0.02   638248     0.00     0.00  my_frand
  0.67      2.86     0.02        1     0.02     0.02  sync_nets_to_blocks
  0.34      2.87     0.01   869998     0.00     0.00  find_to
  0.34      2.88     0.01   222082     0.00     0.00  get_rr_cong_cost
  0.34      2.89     0.01    30888     0.00     0.00  label_wire_muxes_for_balance
  0.34      2.90     0.01      954     0.00     0.00  pathfinder_update_one_cost
  0.34      2.91     0.01      477     0.00     0.00  free_route_tree
  0.34      2.92     0.01      139     0.00     0.00  comp_td_costs
  0.34      2.93     0.01      124     0.00     0.00  compute_net_slacks
  0.34      2.94     0.01      124     0.00     0.00  load_timing_graph_net_delays
  0.34      2.95     0.01       15     0.00     0.00  recompute_bb_cost
  0.34      2.96     0.01        1     0.01     0.01  alloc_sblock_pattern_lookup
  0.34      2.97     0.01        1     0.01     0.01  check_rr_graph
  0.34      2.98     0.01        1     0.01     0.03  read_netlist
  0.00      2.98     0.00   848146     0.00     0.00  assess_swap
  0.00      2.98     0.00   383841     0.00     0.00  my_malloc
  0.00      2.98     0.00   315200     0.00     0.00  get_bb_from_scratch
  0.00      2.98     0.00   222559     0.00     0.00  get_timing_driven_expected_cost
  0.00      2.98     0.00   222559     0.00     0.00  node_to_heap
  0.00      2.98     0.00   220989     0.00     0.00  add_to_heap
  0.00      2.98     0.00   220989     0.00     0.00  alloc_heap_data
  0.00      2.98     0.00   220989     0.00     0.00  free_heap_data
  0.00      2.98     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      2.98     0.00   217602     0.00     0.00  get_expected_segs_to_target
  0.00      2.98     0.00   166056     0.00     0.00  is_sbox
  0.00      2.98     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      2.98     0.00    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.00      2.98     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      2.98     0.00    58080     0.00     0.00  vpr_to_phy_track
  0.00      2.98     0.00    55176     0.00     0.00  get_track_to_tracks
  0.00      2.98     0.00    29040     0.00     0.00  is_cbox
  0.00      2.98     0.00    22465     0.00     0.00  get_heap_head
  0.00      2.98     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      2.98     0.00    20292     0.00     0.00  check_node
  0.00      2.98     0.00    20292     0.00     0.00  check_pass_transistors
